thing,thing,thing,thing,thing,Geotag Lat,Geotag Long,Inspection,Overall Pass/Fail
2.997030405,180.2580874,1.17E-09,-0.0135,-2.997,33.932936 N,84.539329 W,Damage Detected!,Damage Detected!
3.262562068,221.1413197,37.17092349,-2.1465,-2.457,33.932954 N,84.539320 W,Damage Detected!,Damage Detected!
3.820881606,288.114864,83.99099404,-3.6315,1.188,33.932953 N,84.539270 W,Damage Detected!,Damage Detected!
4.452565244,300.2189236,41.51067509,-3.8475,2.241,33.932961 N,84.539241 W,Damage Detected!,Damage Detected!
6.181717662,303.6900675,43.58557679,-5.1435,3.429,33.932968 N,84.539226 W,Damage Detected!,Damage Detected!
7.685247768,305.9237779,43.56790382,-6.2235,4.509,33.932966 N,84.539180 W,Damage Detected!,Damage Detected!
11.74094154,318.9628142,98.55555824,-7.7085,8.856,33.932950 N,84.539162 W,Damage Detected!,Damage Detected!
13.11892325,331.0083897,121.9482349,-6.3585,11.475,33.932928 N,84.539137 W,Damage Detected!,Damage Detected!
13.2303375,332.3367617,96.64652088,-6.1425,11.718,33.932911 N,84.539130 W,Damage Detected!,Damage Detected!
14.7155016,341.5484293,170.3478196,-4.6575,13.959,33.932884 N,84.539146 W,Damage Detected!,Damage Detected!
15.77244351,349.2959933,177.0233851,-2.9295,15.498,33.932883 N,84.539146 W,Damage Detected!,Damage Detected!
15.20100599,359.9491157,207.3923696,-0.0135,15.201,33.932861 N,84.539155 W,Damage Detected!,Damage Detected!
15.20100599,359.9491157,180,-0.0135,15.201,33.932848 N,84.539172 W,Damage Detected!,Damage Detected!
15.20100599,359.9491157,152.5892782,-0.0135,15.201,33.932842 N,84.539206 W,No damage,Damage Detected!
15.76745098,10.60760125,182.9766149,2.9025,15.498,33.932838 N,84.539241 W,No damage,Damage Detected!
14.70697832,18.351791,189.6521804,4.6305,13.959,33.932863 N,84.539278 W,No damage,Damage Detected!
13.21782373,27.55957879,263.3534791,6.1155,11.718,33.932874 N,84.539284 W,No damage,Damage Detected!
13.10585813,28.88836368,238.0517651,6.3315,11.475,33.932889 N,84.539294 W,No damage,Damage Detected!
11.72323241,40.93765122,261.4444418,7.6815,8.856,33.932891 N,84.539301 W,No damage,Damage Detected!
7.663399588,53.95778507,316.4320962,6.1965,4.509,33.932915 N,84.539332 W,Damage Detected!,Damage Detected!
6.159270513,56.1706117,316.4144232,5.1165,3.429,33.932935 N,84.539331 W,Damage Detected!,Damage Detected!