w,thing,thing,thing,thing,thing,thing,thing,thing
1.498626914,180.3237015,0,-0.008466684,-1.498602997,33.770959 N,84.392831 W,No Damage,Damage Detected!
2.22214559,240.3092735,43.41514561,-1.930403861,-1.100668868,33.770983 N,84.392841 W,Damage Detected!,Damage Detected!
2.588202998,292.7063708,90,-2.387604775,0.999068665,33.771009 N,84.392841 W,Damage Detected!,Damage Detected!
4.403432524,327.1654859,90,-2.387604775,3.699940733,33.771027 N,84.392831 W,Damage Detected!,Damage Detected!
6.126650445,342.4664838,140.7992176,-1.845737025,5.842011684,33.771026 N,84.392808 W,Damage Detected!,Damage Detected!
6.150170061,1.893385846,180,0.203200406,6.146812294,33.771021 N,84.392794 W,Damage Detected!,Damage Detected!
5.879134871,22.61351779,239.0882832,2.260604521,5.427144188,33.771000 N,84.392786 W,Damage Detected!,Damage Detected!
4.311362986,33.62765385,270,2.387604775,3.589873846,33.770978 N,84.392785 W,Damage Detected!,Damage Detected!
2.569021181,68.33884918,270,2.387604775,0.948268563,33.770960 N,84.392794 W,Damage Detected!,Damage Detected!
2.20745131,119.9084273,316.5848544,1.913470494,-1.100668868,33.770960 N,84.392794 W,Damage Detected!,Damage Detected!