lat,lon,heading,d_right,d_fow,Geotag Lat,Geotag Long,Inspection,Overall Pass/Fail
33.7789007,84.4035262,8.7462,-13.4999833,50.9999772,33.779278 N,84.402736 W,Damage Detected!,Damage Detected!
33.7782719,84.4039477,51.1466,-75.1163332,27.9025185,33.779178 N,84.402656 W,No Damage Detected,Damage Detected!
33.7780743,84.4047582,88.5679,-72.2077114,29.9171663,33.779217 N,84.402944 W,No Damage Detected,Damage Detected!
33.7780383,84.4051581,75.9638,-37.0884385,-3.07403162,33.779172 N,84.402983 W,No Damage Detected,Damage Detected!
33.7780114,84.4052446,44.1186,-8.48878767,-0.970070314,33.778944 N,84.402756 W,No Damage Detected,Damage Detected!
33.7775532,84.4056336,64.29,-61.6741523,-9.65908206,33.778778 N,84.402386 W,Damage Detected!,Damage Detected!
33.7775352,84.4062497,114.6236,-52.2246627,22.925281,33.778847 N,84.402714 W,No Damage Detected,Damage Detected!
33.7777149,84.4064658,137.6026,-26.5145218,9.84829606,33.779256 N,84.402703 W,No Damage Detected,Damage Detected!
33.7780742,84.4067252,147.3808,-45.7217488,9.24701748,33.778853 N,84.402717 W,Damage Detected!,Damage Detected!
33.7780742,84.4066496,94.2892,3.77325402,5.89596182,33.779264 N,84.402814 W,No Damage Detected,Damage Detected!
33.7783886,84.407471,137.6425,-78.4048516,29.2178669,33.778850 N,84.402717 W,No Damage Detected,Damage Detected!
33.7789994,84.4077628,178.5679,-68.4403652,25.8635154,33.778803 N,84.402369 W,No Damage Detected,Damage Detected!
33.7797271,84.4073846,227.6425,-80.1001644,37.0134516,33.778947 N,84.402756 W,No Damage Detected,Damage Detected!
33.7799697,84.4066172,267.1376,-70.6569386,27.8849445,33.778803 N,84.402369 W,No Damage Detected,Damage Detected!
33.7800685,84.4065308,234.6888,-8.53949236,-10.5869718,33.778752 N,84.402344 W,No Damage Detected,Damage Detected!
33.7803739,84.4063146,229.1849,-35.9729635,-16.184433,33.779231 N,84.402994 W,No Damage Detected,Damage Detected!
33.7805267,84.4057418,280.4915,-51.2230054,21.7758795,33.778803 N,84.402369 W,No Damage Detected,Damage Detected!
33.7802662,84.4052879,322.5238,-46.5783801,20.8673715,33.778947 N,84.402756 W,No Damage Detected,Damage Detected!
33.7800236,84.4051149,307.3493,-31.1623171,3.72980471,33.778803 N,84.402369 W,No Damage Detected,Damage Detected!
33.7799787,84.4050285,275.7106,-9.39290674,-0.878529328,33.778752 N,84.402344 W,No Damage Detected,Damage Detected!
33.7798529,84.4040558,302.2756,-90.9464832,4.97513354,33.779231 N,84.402994 W,No Damage Detected,Damage Detected!